Device;topic_prefix;topic_suffix;topic;Certain ?;Address;Writable;Size;Name;FunctionText;type;
Air neuf amphi;emse/fayol/ENT/022/;clean-air/state;emse/fayol/ENT/022/clean-air/state;oui;8/0/39;true;1 Bit;Voyant milieu;Visualisation;bool;
Air neuf amphi;emse/fayol/ENT/022/;toggle;emse/fayol/ENT/022/toggle;oui;4/1/83;true;1 Bit;Contact bas;Bouton-poussoir;bool;
Air neuf amphi;emse/fayol/ENT/022/;toggle;emse/fayol/ENT/022/toggle;oui;4/1/83;true;1 Bit;Contact haut;Bouton-poussoir;bool;
Air neuf réception;emse/fayol/RDC/entrance-hall/;clean-air/state;emse/fayol/RDC/entrance-hall/clean-air/state;oui;8/0/40;true;1 Bit;Voyant milieu;Visualisation;bool;
Air neuf réception;emse/fayol/RDC/entrance-hall/;toggle;emse/fayol/RDC/entrance-hall/toggle;oui;4/1/84;true;1 Bit;Contact bas;Bouton-poussoir;bool;
Air neuf réception;emse/fayol/RDC/entrance-hall/;toggle;emse/fayol/RDC/entrance-hall/toggle;oui;4/1/84;true;1 Bit;Contact haut;Bouton-poussoir;bool;
Alarme DI, intrusion, Libre! x2;;;;;7/0/10;true;1 Bit;E2;Entrée 2;bool;
Alarme DI, intrusion, Libre! x2;;;;;7/0/9;true;1 Bit;E1;Entrée 1;bool;
BP air neuf bibliothèque;emse/fayol/6ET/610/;clean-air/state;emse/fayol/6ET/610/clean-air/state;oui;8/0/47;true;1 Bit;Voyant milieu;Visualisation;bool;
BP air neuf bibliothèque;emse/fayol/6ET/610/;toggle;emse/fayol/6ET/610/toggle;oui;4/1/91;true;1 Bit;Contact bas;Bouton-poussoir;bool;
BP air neuf bibliothèque;emse/fayol/6ET/610/;toggle;emse/fayol/6ET/610/toggle;oui;4/1/91;true;1 Bit;Contact haut;Bouton-poussoir;bool;
BP air neuf foyer;emse/fayol/6ET/620/;clean-air/state;emse/fayol/6ET/620/clean-air/state;oui;8/0/46;true;1 Bit;Voyant milieu;Visualisation;bool;
BP air neuf foyer;emse/fayol/6ET/620/;toggle;emse/fayol/6ET/620/toggle;oui;4/1/90;true;1 Bit;Contact bas;Bouton-poussoir;bool;
BP air neuf foyer;emse/fayol/6ET/620/;toggle;emse/fayol/6ET/620/toggle;oui;4/1/90;true;1 Bit;Contact haut;Bouton-poussoir;bool;
Cde chauffage : 502, 526, 530, libre;emse/fayol/5ET/502/;temperature/heating-rate;emse/fayol/5ET/502/temperature/heating-rate;oui;2/0/152;true;1 Byte;Sortie 1;Taux de chauffe;int;
Cde chauffage : 502, 526, 530, libre;emse/fayol/5ET/526/;temperature/heating-rate;emse/fayol/5ET/526/temperature/heating-rate;oui;2/0/143;true;1 Byte;Sortie 2;Taux de chauffe;int;
Cde chauffage : 502, 526, 530, libre;emse/fayol/5ET/530/;temperature/heating-rate;emse/fayol/5ET/530/temperature/heating-rate;oui;2/0/141;true;1 Byte;Sortie 3;Taux de chauffe;int;
Comptage  CTA amphi., Libre!, CTA réception, Libre!;emse/fayol/ENT/022/;tariff;emse/fayol/ENT/022/tariff;oui;14/0/3;true;1 Bit;Ordres tarifaires;Synchro;bool;
Comptage  CTA amphi., Libre!, CTA réception, Libre!;emse/fayol/ENT/022/;;emse/fayol/ENT/022/;oui;14/0/2;false;1 Byte;E1;Sauvegarde 1;int;
Comptage  CTA amphi., Libre!, CTA réception, Libre!;emse/fayol/ENT/022/;A022/metering-impulse;emse/fayol/ENT/022/A022/metering-impulse;oui;0/0/29;false;1 Bit;E1;Impulsion calibrée;bool;
Comptage  CTA amphi., Libre!, CTA réception, Libre!;emse/fayol/ENT/022/;metering/request;emse/fayol/ENT/022/metering/request;oui;14/0/4;true;1 Bit;Demande d'émission;Demande d'émission;bool;
Comptage  CTA amphi., Libre!, CTA réception, Libre!;emse/fayol/ENT/022/;reception/metering-impulse;emse/fayol/ENT/022/reception/metering-impulse;oui;14/0/1;false;1 Byte;E1;Compteur 1;int;
Comptage AS1;emse/fayol/1ET/;metering-impulse;emse/fayol/1ET/metering-impulse;oui;10/0/1;true;1 Bit;E1;Entrée 1;bool;
Comptage AS2;emse/fayol/2ET/;metering-impulse;emse/fayol/2ET/metering-impulse;oui;10/0/2;true;1 Bit;E1;Entrée 1;bool;
